Quotes,Author
“I must not fear. Fear is the mind-killer. Fear is the little-death that brings total obliteration. I will face my fear. I will permit it to pass over me and through me. And when it has gone past I will turn the inner eye to see its path. Where the fear has gone there will be nothing. Only I will remain.”,"? Frank Herbert, Dune"
“Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”,"? Roy T. Bennett, The Light in the Heart"
"“Pursue what catches your heart, not what catches your eyes.”","? Roy T. Bennett, The Light in the Heart"
“Start each day with a positive thought and a grateful heart.”,"? Roy T. Bennett, The Light in the Heart"
“The only way of discovering the limits of the possible is to venture a little way past them into the impossible.”,? Arthur C. Clarke
“Be yourself; everyone else is already taken.”,? Oscar Wilde
"“You've gotta dance like there's nobody watching,
Love like you'll never be hurt,
Sing like there's nobody listening,
And live like it's heaven on earth.”",? William W. Purkey
“Be the change that you wish to see in the world.”,? Mahatma Gandhi
“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”,"? Martin Luther King Jr., A Testament of Hope: The Essential Writings and Speeches"
“We accept the love we think we deserve.”,"? Stephen Chbosky, The Perks of Being a Wallflower"
"“Without music, life would be a mistake.”","? Friedrich Nietzsche, Twilight of the Idols"
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",? Marilyn Monroe
"“We are all in the gutter, but some of us are looking at the stars.”","? Oscar Wilde, Lady Windermere's Fan"
"“Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”",? Bill Keane
"“I have not failed. I've just found 10,000 ways that won't work.”",? Thomas A. Edison
“It is never too late to be what you might have been.”,? George Eliot
